Sample Name	Protocol REF	Parameter Value[Sensor Location]	Parameter Value[Sensor frequency range]	Unit	Parameter Value[Preamplifier]	Parameter Value[Amplifier]	Parameter Value[Amplifier max load]	Unit	Parameter Value[Amplifier min load]	Unit	Protocol REF	Parameter Value[Filter type]	Parameter Value[Filter HP cutoff frequency]	Unit	Parameter Value[Smoothening method]	Parameter Value[Smoothening time constant]	Unit	Parameter Value[Smoothening sampling frequency]	Unit	Processed Data File
Specimen-0	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_01.csv
Specimen-1	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_02.csv
Specimen-10	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_11.csv
Specimen-11	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_12.csv
Specimen-12	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_13.csv
Specimen-13	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_14.csv
Specimen-14	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_15.csv
Specimen-15	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_16.csv
Specimen-16	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_17.csv
Specimen-17	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_18.csv
Specimen-18	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_19.csv
Specimen-19	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_20.csv
Specimen-2	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_03.csv
Specimen-20	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_21.csv
Specimen-21	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_22.csv
Specimen-22	Acoustic Emission Measurement	Spindle	2	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DE1801	DE302A	5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	-5	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	Acoustic Emission Processing	High pass	8	"OntologyAnnotation(
	term=kHz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	RMS	8	"OntologyAnnotation(
	term=ms
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	250	"OntologyAnnotation(
	term=Hz
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Sensor\AE_spindle\Case_11_time_run_23.csv
